service_id,date,exception_type
M-Th,20260907,2
M-Th,20261111,2
M-Th,20261123,2
M-Th,20261124,2
M-Th,20261125,2
M-Th,20261126,2
M-Th,20261214,2
M-Th,20261215,2
M-Th,20261216,2
M-Th,20261217,2
M-Th,20261221,2
M-Th,20261222,2
M-Th,20261223,2
M-Th,20261224,2
M-Th,20261228,2
M-Th,20261229,2
M-Th,20261230,2
M-Th,20261231,2
M-Th,20270118,2
M-Th,20270315,2
M-Th,20270316,2
M-Th,20270317,2
M-Th,20270318,2
Weekday,20260907,2
Weekday,20261009,2
Weekday,20261111,2
Weekday,20261123,2
Weekday,20261124,2
Weekday,20261125,2
Weekday,20261126,2
Weekday,20261127,2
Weekday,20261214,2
Weekday,20261215,2
Weekday,20261216,2
Weekday,20261217,2
Weekday,20261218,2
Weekday,20261221,2
Weekday,20261222,2
Weekday,20261223,2
Weekday,20261224,2
Weekday,20261225,2
Weekday,20261228,2
Weekday,20261229,2
Weekday,20261230,2
Weekday,20261231,2
Weekday,20270101,2
Weekday,20270118,2
Weekday,20270315,2
Weekday,20270316,2
Weekday,20270317,2
Weekday,20270318,2
Weekday,20270319,2
Reduced,20260820,2
Reduced,20260821,2
Reduced,20260824,2
Reduced,20260825,2
Reduced,20260826,2
Reduced,20260827,2
Reduced,20260828,2
Reduced,20260831,2
Reduced,20260901,2
Reduced,20260902,2
Reduced,20260903,2
Reduced,20260904,2
Reduced,20260907,2
Reduced,20260908,2
Reduced,20260909,2
Reduced,20260910,2
Reduced,20260911,2
Reduced,20260914,2
Reduced,20260915,2
Reduced,20260916,2
Reduced,20260917,2
Reduced,20260918,2
Reduced,20260921,2
Reduced,20260922,2
Reduced,20260923,2
Reduced,20260924,2
Reduced,20260925,2
Reduced,20260928,2
Reduced,20260929,2
Reduced,20260930,2
Reduced,20261001,2
Reduced,20261002,2
Reduced,20261005,2
Reduced,20261006,2
Reduced,20261007,2
Reduced,20261008,2
Reduced,20261012,2
Reduced,20261013,2
Reduced,20261014,2
Reduced,20261015,2
Reduced,20261016,2
Reduced,20261019,2
Reduced,20261020,2
Reduced,20261021,2
Reduced,20261022,2
Reduced,20261023,2
Reduced,20261026,2
Reduced,20261027,2
Reduced,20261028,2
Reduced,20261029,2
Reduced,20261030,2
Reduced,20261102,2
Reduced,20261103,2
Reduced,20261104,2
Reduced,20261105,2
Reduced,20261106,2
Reduced,20261109,2
Reduced,20261110,2
Reduced,20261111,2
Reduced,20261112,2
Reduced,20261113,2
Reduced,20261116,2
Reduced,20261117,2
Reduced,20261118,2
Reduced,20261119,2
Reduced,20261120,2
Reduced,20261126,2
Reduced,20261127,2
Reduced,20261130,2
Reduced,20261201,2
Reduced,20261202,2
Reduced,20261203,2
Reduced,20261204,2
Reduced,20261207,2
Reduced,20261208,2
Reduced,20261209,2
Reduced,20261210,2
Reduced,20261211,2
Reduced,20261224,2
Reduced,20261225,2
Reduced,20270101,2
Reduced,20270104,2
Reduced,20270105,2
Reduced,20270106,2
Reduced,20270107,2
Reduced,20270108,2
Reduced,20270111,2
Reduced,20270112,2
Reduced,20270113,2
Reduced,20270114,2
Reduced,20270115,2
Reduced,20270118,2
Reduced,20270119,2
Reduced,20270120,2
Reduced,20270121,2
Reduced,20270122,2
Reduced,20270125,2
Reduced,20270126,2
Reduced,20270127,2
Reduced,20270128,2
Reduced,20270129,2
Reduced,20270201,2
Reduced,20270202,2
Reduced,20270203,2
Reduced,20270204,2
Reduced,20270205,2
Reduced,20270208,2
Reduced,20270209,2
Reduced,20270210,2
Reduced,20270211,2
Reduced,20270212,2
Reduced,20270215,2
Reduced,20270216,2
Reduced,20270217,2
Reduced,20270218,2
Reduced,20270219,2
Reduced,20270222,2
Reduced,20270223,2
Reduced,20270224,2
Reduced,20270225,2
Reduced,20270226,2
Reduced,20270301,2
Reduced,20270302,2
Reduced,20270303,2
Reduced,20270304,2
Reduced,20270305,2
Reduced,20270308,2
Reduced,20270309,2
Reduced,20270310,2
Reduced,20270311,2
Reduced,20270312,2
