shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
12-A-OB,29.64865,-82.34495,1,0
12-A-OB,29.64869,-82.34489,2,7.31
12-A-OB,29.64882,-82.34476,3,26.46
12-A-OB,29.64889,-82.34474,4,34.48
12-A-OB,29.64976,-82.34473,5,131.22
12-A-OB,29.64976,-82.34351,6,249.12
12-A-OB,29.64658,-82.34352,7,602.72
12-A-OB,29.64483,-82.34351,8,797.31
12-A-OB,29.64484,-82.345608,9,1000.07
12-A-OB,29.64484,-82.34744,10,1177.11
12-A-OB,29.64488,-82.3486,11,1289.3
12-A-OB,29.64488,-82.3504,12,1463.26
12-A-OB,29.640053,-82.350471,13,2000.04
12-A-OB,29.63917,-82.35049,14,2098.24
12-A-OB,29.63885,-82.35143,15,2195.81
12-A-OB,29.63868,-82.352,16,2254.05
12-A-OB,29.63856,-82.35262,17,2315.44
12-A-OB,29.63827,-82.35501,18,2548.66
12-A-OB,29.63823,-82.35583,19,2628.04
12-A-OB,29.6382,-82.35829,20,2865.81
12-A-OB,29.63814,-82.35847,21,2884.45
12-A-OB,29.63806,-82.35862,22,2901.45
12-A-OB,29.63784,-82.3588,23,2931.47
12-A-OB,29.63765,-82.35887,24,2953.66
12-A-OB,29.637231,-82.35887,25,3000.25
12-A-OB,29.63404,-82.35887,26,3355.07
12-A-OB,29.63382,-82.35882,27,3380.0
12-A-OB,29.63374,-82.35878,28,3389.7
12-A-OB,29.63352,-82.35929,29,3444.73
12-A-OB,29.63237,-82.3617,30,3710.46
12-A-OB,29.63189,-82.36142,31,3770.3
12-A-OB,29.63173,-82.36137,32,3788.73
12-A-OB,29.63164,-82.36136,33,3798.79
12-A-OB,29.63077,-82.36152,34,3896.76
12-A-OB,29.63045,-82.36152,35,3932.34
12-A-OB,29.63019,-82.36149,36,3961.39
12-A-OB,29.629852,-82.36139,37,4000.2
12-A-OB,29.62952,-82.36126,38,4039.2
12-A-OB,29.62929,-82.36113,39,4067.69
12-A-OB,29.62891,-82.36083,40,4118.94
12-A-OB,29.62875,-82.36068,41,4141.89
12-A-OB,29.62856,-82.36043,42,4173.99
12-A-OB,29.62841,-82.36021,43,4201.01
12-A-OB,29.62831,-82.36003,44,4221.66
12-A-OB,29.62729,-82.35787,45,4459.26
12-A-OB,29.62708,-82.3575,46,4501.97
12-A-OB,29.62689,-82.35722,47,4536.3
12-A-OB,29.62641,-82.35677,48,4605.15
12-A-OB,29.62616,-82.35659,49,4637.95
12-A-OB,29.62602,-82.35651,50,4655.33
12-A-OB,29.62561,-82.35634,51,4703.79
12-A-OB,29.62523,-82.35623,52,4747.36
12-A-OB,29.62504,-82.3562,53,4768.69
12-A-OB,29.622963,-82.356023,54,5000.27
12-A-OB,29.62195,-82.35592,55,5113.35
12-A-OB,29.62074,-82.35582,56,5248.25
12-A-OB,29.62069,-82.35585,57,5254.52
12-A-OB,29.62039,-82.35584,58,5287.89
12-A-OB,29.62034,-82.35585,59,5293.53
12-A-OB,29.62031,-82.35588,60,5297.95
12-A-OB,29.62025,-82.35619,61,5328.65
12-A-OB,29.61972,-82.36285,62,5975.13
12-A-OB,29.619493,-82.362828,63,6000.46
12-A-OB,29.61344,-82.36222,64,6676.08
12-A-OB,29.61364,-82.35976,65,6914.93
12-A-OB,29.61333,-82.35968,66,6950.26
12-A-OB,29.612918,-82.359467,67,7000.48
12-A-OB,29.61231,-82.35919,68,7073.2
12-A-OB,29.61215,-82.3591,69,7093.0
12-A-OB,29.61137,-82.36046,70,7250.51
12-A-OB,29.61093,-82.36113,71,7331.68
12-A-OB,29.607071,-82.366438,72,8000.6
12-A-OB,29.60489,-82.36944,73,8378.81
12-A-OB,29.60426,-82.37038,74,8493.56
12-A-OB,29.60421,-82.37063,75,8518.36
12-A-OB,29.60422,-82.37075,76,8530.01
12-A-OB,29.60426,-82.37085,77,8540.66
12-A-OB,29.60431,-82.37091,78,8548.69
12-A-OB,29.60444,-82.37101,79,8566.08
12-A-OB,29.608337,-82.371359,80,9000.72
12-A-OB,29.61199,-82.37167,81,9408.02
12-A-OB,29.61284,-82.37176,82,9502.94
12-A-OB,29.61484,-82.37202,83,9726.75
12-A-IB,29.61466,-82.372,1,0
12-A-IB,29.61576,-82.37214,2,123.06
12-A-IB,29.62046,-82.37264,3,647.91
12-A-IB,29.62144,-82.37272,4,757.15
12-A-IB,29.62174,-82.37272,5,790.51
12-A-IB,29.6217,-82.37263,6,800.28
12-A-IB,29.62173,-82.37192,7,868.99
12-A-IB,29.62176,-82.37179,8,881.99
12-A-IB,29.62175,-82.3713,9,929.37
12-A-IB,29.6217,-82.37086,10,972.27
12-A-IB,29.621645,-82.370581,11,999.92
12-A-IB,29.62156,-82.3702,12,1037.94
12-A-IB,29.62138,-82.36965,13,1094.75
12-A-IB,29.62013,-82.36624,14,1452.48
12-A-IB,29.61984,-82.36539,15,1540.74
12-A-IB,29.61974,-82.36495,16,1584.71
12-A-IB,29.61965,-82.36443,17,1635.96
12-A-IB,29.61964,-82.364,18,1677.54
12-A-IB,29.61966,-82.36357,19,1719.16
12-A-IB,29.619892,-82.360678,20,1999.9
12-A-IB,29.62025,-82.35619,21,2435.56
12-A-IB,29.62023,-82.35592,22,2461.75
12-A-IB,29.62017,-82.35581,23,2474.3
12-A-IB,29.62017,-82.35574,24,2481.07
12-A-IB,29.62022,-82.35567,25,2489.83
12-A-IB,29.62029,-82.35566,26,2497.67
12-A-IB,29.62044,-82.35575,27,2516.48
12-A-IB,29.6207,-82.35578,28,2545.54
12-A-IB,29.62074,-82.35582,29,2551.43
12-A-IB,29.624753,-82.356178,30,2999.0
12-A-IB,29.62523,-82.35623,31,3052.27
12-A-IB,29.62561,-82.35634,32,3095.85
12-A-IB,29.62602,-82.35651,33,3144.31
12-A-IB,29.62616,-82.35659,34,3161.69
12-A-IB,29.62641,-82.35677,35,3194.48
12-A-IB,29.62689,-82.35722,36,3263.33
12-A-IB,29.62708,-82.3575,37,3297.67
12-A-IB,29.62729,-82.35787,38,3340.38
12-A-IB,29.62772,-82.35876,39,3438.8
12-A-IB,29.62808,-82.35955,40,3525.02
12-A-IB,29.62841,-82.36021,41,3598.61
12-A-IB,29.62875,-82.36068,42,3657.71
12-A-IB,29.62891,-82.36083,43,3680.66
12-A-IB,29.62929,-82.36113,44,3731.91
12-A-IB,29.62952,-82.36126,45,3760.4
12-A-IB,29.62973,-82.36135,46,3785.32
12-A-IB,29.63019,-82.36149,47,3838.23
12-A-IB,29.63045,-82.36152,48,3867.29
12-A-IB,29.63077,-82.36152,49,3902.87
12-A-IB,29.63096,-82.36149,50,3924.19
12-A-IB,29.6311,-82.36145,51,3940.23
12-A-IB,29.63149,-82.36126,52,3987.33
12-A-IB,29.63159,-82.361233,53,3998.75
12-A-IB,29.63181,-82.36126,54,4023.35
12-A-IB,29.63225,-82.36152,55,4078.35
12-A-IB,29.63359,-82.35869,56,4389.83
12-A-IB,29.63382,-82.35882,57,4418.32
12-A-IB,29.63404,-82.35887,58,4443.26
12-A-IB,29.63765,-82.35887,59,4844.67
12-A-IB,29.63784,-82.3588,60,4866.86
12-A-IB,29.63806,-82.35862,61,4896.88
12-A-IB,29.63816,-82.35842,62,4919.17
12-A-IB,29.63821,-82.35822,63,4939.29
12-A-IB,29.638215,-82.357606,64,4998.63
12-A-IB,29.63823,-82.35583,65,5170.28
12-A-IB,29.63825,-82.35524,66,5227.35
12-A-IB,29.63849,-82.35317,67,5429.18
12-A-IB,29.638593,-82.352451,68,5499.61
12-A-IB,29.63871,-82.35188,69,5556.3
12-A-IB,29.63917,-82.35049,70,5700.05
12-A-IB,29.641856,-82.350446,71,5998.75
12-A-IB,29.64534,-82.35039,72,6386.19
12-A-IB,29.64603,-82.35034,73,6463.07
12-A-IB,29.64619,-82.35027,74,6482.1
12-A-IB,29.646316,-82.350169,75,6499.18
12-A-IB,29.64661,-82.34984,76,6544.78
12-A-IB,29.64672,-82.34977,77,6558.76
12-A-IB,29.64683,-82.34974,78,6571.33
12-A-IB,29.64865,-82.34973,79,6773.7
12-A-IB,29.648641,-82.347401,80,6998.77
12-A-IB,29.64862,-82.34627,81,7108.09
12-A-IB,29.64862,-82.34504,82,7226.96
12-A-IB,29.64865,-82.34495,83,7236.27
12-B-IB,29.63043,-82.36152,1,0
12-B-IB,29.63019,-82.36149,2,26.84
12-B-IB,29.62994,-82.36142,3,55.45
12-B-IB,29.62952,-82.36126,4,104.65
12-B-IB,29.62929,-82.36113,5,133.14
12-B-IB,29.62891,-82.36083,6,184.39
12-B-IB,29.62875,-82.36068,7,207.34
12-B-IB,29.62841,-82.36021,8,266.44
12-B-IB,29.62831,-82.36003,9,287.09
12-B-IB,29.62729,-82.35787,10,524.69
12-B-IB,29.62708,-82.3575,11,567.4
12-B-IB,29.62689,-82.35722,12,601.73
12-B-IB,29.62641,-82.35677,13,670.59
12-B-IB,29.62616,-82.35659,14,703.38
12-B-IB,29.62602,-82.35651,15,720.76
12-B-IB,29.62561,-82.35634,16,769.22
12-B-IB,29.62523,-82.35623,17,812.8
12-B-IB,29.62504,-82.3562,18,834.12
12-B-IB,29.623551,-82.35608,19,1000.1
12-B-IB,29.62195,-82.35592,20,1178.79
12-B-IB,29.62074,-82.35582,21,1313.68
12-B-IB,29.62069,-82.35585,22,1319.95
12-B-IB,29.62039,-82.35584,23,1353.32
12-B-IB,29.62034,-82.35585,24,1358.97
12-B-IB,29.62031,-82.35588,25,1363.39
12-B-IB,29.62025,-82.35619,26,1394.09
12-B-IB,29.619754,-82.362433,27,2000.08
12-B-IB,29.61972,-82.36285,28,2040.56
12-B-IB,29.61344,-82.36222,29,2741.52
12-B-IB,29.61364,-82.35976,30,2980.36
12-B-IB,29.613467,-82.359715,31,3000.09
12-B-IB,29.61333,-82.35968,32,3015.69
12-B-IB,29.61322,-82.35963,33,3028.84
12-B-IB,29.61297,-82.35949,34,3059.76
12-B-IB,29.61231,-82.35919,35,3138.67
12-B-IB,29.61215,-82.3591,36,3158.48
12-B-IB,29.61137,-82.36046,37,3315.98
12-B-IB,29.61093,-82.36113,38,3397.16
12-B-IB,29.60745,-82.365915,39,4000.25
12-B-IB,29.60489,-82.36944,40,4444.29
12-B-IB,29.60426,-82.37038,41,4559.03
12-B-IB,29.60421,-82.37064,42,4584.78
12-B-IB,29.60422,-82.37075,43,4595.47
12-B-IB,29.60426,-82.37085,44,4606.11
12-B-IB,29.60436,-82.37096,45,4621.5
12-B-IB,29.60444,-82.37101,46,4631.62
12-B-IB,29.607746,-82.371306,47,5000.34
12-B-IB,29.61199,-82.37167,48,5473.56
12-B-IB,29.61284,-82.37176,49,5568.48
12-B-IB,29.61484,-82.37202,50,5792.29
5-A-IB,29.65805,-82.40887,1,0
5-A-IB,29.65955,-82.40887,2,166.79
5-A-IB,29.65954,-82.40357,3,678.91
5-A-IB,29.65945,-82.4024,4,792.41
5-A-IB,29.65935,-82.40158,5,872.42
5-A-IB,29.65925,-82.40093,6,936.2
5-A-IB,29.659126,-82.400285,7,1000.03
5-A-IB,29.65903,-82.3998,8,1048.1
5-A-IB,29.65883,-82.39896,9,1132.26
5-A-IB,29.65851,-82.39789,10,1241.6
5-A-IB,29.65744,-82.39495,11,1549.59
5-A-IB,29.65656,-82.39261,12,1795.97
5-A-IB,29.65617,-82.39147,13,1914.35
5-A-IB,29.655865,-82.390656,14,2000.01
5-A-IB,29.65436,-82.38654,15,2431.52
5-A-IB,29.65375,-82.38493,16,2601.24
5-A-IB,29.65314,-82.38321,17,2780.75
5-A-IB,29.652368,-82.381122,18,3000.02
5-A-IB,29.65216,-82.38055,19,3059.94
5-A-IB,29.65198,-82.37996,20,3120.36
5-A-IB,29.65183,-82.37969,21,3151.33
5-A-IB,29.65159,-82.37902,22,3221.36
5-A-IB,29.65135,-82.37827,23,3298.59
5-A-IB,29.65104,-82.37726,24,3402.1
5-A-IB,29.65088,-82.37664,25,3464.6
5-A-IB,29.65087,-82.37654,26,3474.33
5-A-IB,29.65068,-82.37569,27,3559.14
5-A-IB,29.6506,-82.37522,28,3605.42
5-A-IB,29.65049,-82.37427,29,3698.04
5-A-IB,29.65039,-82.37357,30,3766.59
5-A-IB,29.65037,-82.37319,31,3803.38
5-A-IB,29.65035,-82.37307,32,3815.19
5-A-IB,29.65034,-82.37136,33,3980.44
5-A-IB,29.650377,-82.371162,34,4000.01
5-A-IB,29.65042,-82.36558,35,4539.44
5-A-IB,29.65042,-82.36414,36,4678.6
5-A-IB,29.650383,-82.360814,37,5000.03
5-A-IB,29.65034,-82.35619,38,5446.9
5-A-IB,29.65039,-82.35575,39,5489.78
5-A-IB,29.65045,-82.35553,40,5512.06
5-A-IB,29.6516,-82.35229,41,5850.27
5-A-IB,29.65175,-82.35219,42,5869.54
5-A-IB,29.65202,-82.3522,43,5899.58
5-A-IB,29.652046,-82.351161,44,6000.02
5-A-IB,29.65206,-82.35084,45,6031.08
5-A-IB,29.6521,-82.35069,46,6046.24
5-A-IB,29.65208,-82.3486,47,6248.22
5-A-IB,29.6521,-82.34793,48,6313.0
5-A-IB,29.65204,-82.3478,49,6327.23
5-A-IB,29.65203,-82.34712,50,6392.95
5-A-IB,29.65201,-82.34179,51,6908.01
5-A-IB,29.652041,-82.340839,52,6999.97
5-A-IB,29.65205,-82.34024,53,7057.86
5-A-IB,29.65201,-82.33914,54,7164.25
5-A-IB,29.65206,-82.33907,55,7173.01
5-A-IB,29.65206,-82.3337,56,7691.93
5-A-IB,29.65196,-82.33371,57,7703.09
5-A-IB,29.65206,-82.3337,58,7714.25
5-A-IB,29.65206,-82.33097,59,7978.06
5-A-IB,29.652043,-82.330744,60,7999.98
5-A-IB,29.65202,-82.33044,61,8029.47
5-A-IB,29.65201,-82.32726,62,8336.77
5-A-IB,29.65195,-82.32584,63,8474.15
5-A-IB,29.65196,-82.32437,64,8616.21
5-A-IB,29.65195,-82.32416,65,8636.53
