trip_id,stop_id,stop_sequence,arrival_time,departure_time,timepoint,shape_dist_traveled,pickup_type,drop_off_type,stop_headsign_code,stop_headsign
Sunday-Su-12-A-OB-1520-986354f,925,1,15:20:00,15:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-2150-141c278,925,1,21:50:00,21:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-2150-141c278,925,1,21:50:00,21:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1350-6f78358,925,1,13:50:00,13:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1350-fe3fe35,925,1,13:50:00,13:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1620-1a2d9e3,925,1,16:20:00,16:20:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-0850-e747ed8,925,1,08:50:00,08:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1920-32f8078,925,1,19:20:00,19:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1450-52b37e4,925,1,14:50:00,14:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1450-52b37e4,925,1,14:50:00,14:50:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1050-f51edd0,925,1,10:50:00,10:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1050-f51edd0,925,1,10:50:00,10:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1720-614bfef,925,1,17:20:00,17:20:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-2120-222a2de,925,1,21:20:00,21:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1850-45dae07,925,1,18:50:00,18:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1850-45dae07,925,1,18:50:00,18:50:00,1,0.0,0,0,,
Sunday-Su-12-A-OB-1320-87b1172,925,1,13:20:00,13:20:00,1,0.0,0,0,,
Sunday-Su-12-A-OB-1120-86da41f,925,1,11:20:00,11:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1750-352117a,925,1,17:50:00,17:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1750-352117a,925,1,17:50:00,17:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-2150-7e481f9,925,1,21:50:00,21:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-0920-5ad928a,925,1,09:20:00,09:20:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1250-c11e677,925,1,12:50:00,12:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1750-31c4221,925,1,17:50:00,17:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1050-97145ee,925,1,10:50:00,10:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1320-b043d31,925,1,13:20:00,13:20:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1450-d18b83f,925,1,14:50:00,14:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1650-03518c9,925,1,16:50:00,16:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1650-4c74518,925,1,16:50:00,16:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1150-30beb3d,925,1,11:50:00,11:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1220-307be6c,925,1,12:20:00,12:20:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1850-e9871d7,925,1,18:50:00,18:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1520-4f5cd98,925,1,15:20:00,15:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-0650-f7022c4,925,1,06:50:00,06:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-0650-f7022c4,925,1,06:50:00,06:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1820-3398994,925,1,18:20:00,18:20:00,1,0.0,0,0,,
Sunday-Su-12-A-OB-1620-179d0ac,925,1,16:20:00,16:20:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-2050-b1117ee,925,1,20:50:00,20:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1750-f375659,925,1,17:50:00,17:50:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1350-82cf223,925,1,13:50:00,13:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1350-82cf223,925,1,13:50:00,13:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-2250-b123252,925,1,22:50:00,22:50:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1150-f726220,925,1,11:50:00,11:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1150-f726220,925,1,11:50:00,11:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-0750-367cd16,925,1,07:50:00,07:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-2020-922fa6f,925,1,20:20:00,20:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-2050-be238bb,925,1,20:50:00,20:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-2050-be238bb,925,1,20:50:00,20:50:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-0950-c5eaee5,925,1,09:50:00,09:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-0950-c5eaee5,925,1,09:50:00,09:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-1420-5a80620,925,1,14:20:00,14:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-0850-e06257d,925,1,08:50:00,08:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-0850-e06257d,925,1,08:50:00,08:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-0850-c866530,925,1,08:50:00,08:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-0650-6891605,925,1,06:50:00,06:50:00,1,0.0,0,0,,
Sunday-Su-12-A-OB-1220-69edd33,925,1,12:20:00,12:20:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-0750-6a724a2,925,1,07:50:00,07:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-0750-6a724a2,925,1,07:50:00,07:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-1550-75a478e,925,1,15:50:00,15:50:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1950-04eb10b,925,1,19:50:00,19:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1950-04eb10b,925,1,19:50:00,19:50:00,1,0.0,0,0,,
Reduced-Mo-Th-12-A-OB-1550-543b402,925,1,15:50:00,15:50:00,1,0.0,0,0,,
Reduced-Fr-12-A-OB-1550-543b402,925,1,15:50:00,15:50:00,1,0.0,0,0,,
Saturday-Sa-12-A-OB-0750-1068f06,925,1,07:50:00,07:50:00,1,0.0,0,0,,
Weekday-Weekday-12-A-OB-0950-cbd78e0,925,1,09:50:00,09:50:00,1,0.0,0,0,,
